Hilos,Promedio Tiempo Real (s),Error Real (s),Promedio Tiempo Usuario (s),Error Usuario (s),Promedio Tiempo Sistema (s),Error Sistema (s)
1,1.27693,.04289,1.20786,.04989,.06733,.03162
2,1.01093,.26944,1.15953,.06949,.07933,.03376
3,.95013,.32960,1.21940,.05118,.07813,.03331
4,.87626,.40296,1.21413,.05029,.11980,.06123
5,.83333,.44566,1.20726,.04989,.11753,.05932
6,.81246,.46644,1.25520,.06877,.13833,.07771
7,.80140,.47746,1.31293,.11631,.15713,.09518
8,.81333,.46558,1.41706,.21508,.19380,.13034
9,.79546,.48337,1.49513,.29156,.21473,.15073
10,.77960,.49917,1.54106,.33691,.28180,.21677
11,.79060,.48822,1.68306,.47780,.30906,.24378
12,.79293,.48590,1.78500,.57929,.33493,.26944
13,.84646,.43260,1.92273,.71660,.35820,.29257
14,.72973,.54888,1.85520,.64925,.39753,.33170
15,.73106,.54755,1.99913,.79283,.40806,.34218
16,.80473,.47414,2.19953,.99291,.44006,.37405
17,.79266,.48616,2.32006,1.11331,.47006,.40396
18,.79373,.48509,2.45946,1.25258,.49840,.43221
19,.77893,.49984,2.47953,1.27264,.55640,.49008
20,.76553,.51319,2.72360,1.51655,.52966,.46340
